X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB;;;;;;;;;;
1244209,4845872,671020,,611800,0,0,0,1,0,South,2018,HYDE ST,STIRRAT ST,,Non-Injury Crash,No,2017,0,East,0,0,1,Flat,0,Labour Weekend,0,,0,Overcast,3152700,0,0,0,2,0,0,0,0,0,,0,0,Southland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,75,Invercargill City,Unknown,0,1,0,0,0,0,Urban,0,0,0,Light rain,Null;;;;;;;;;;
1208080,4882935,671021,,612740,0,0,0,1,0,East,2009,OTAUTAU-TUATAPERE ROAD,LOWER SCOTTS GAP ROAD,,Minor Crash,No,2009,0,East,0,0,1,Hill Road,0,,0,,0,Dark,3177700,1,0,0,2,0,0,0,1,0,,0,0,Southland Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,73,Southland District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null;;;;;;;;;;
1800669.9219,5815756.2113,671022,,529700,0,,0,1,,West,2020,LONDON STREET,VICTORIA STREET,,Non-Injury Crash,No,2019,,West,,0,,Flat,,,,,,Overcast,910100,0,0,0,2,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,60,,Off,0,0,,16,Hamilton City,Nil,,,,,0,1,Urban,0,,,Fine,Null;;;;;;;;;;
1789814,5840525,671023,,527401,1,0,0,1,0,West,2015,SEMPLE ST,FRASER ST,,Minor Crash,No,2015,0,East,0,0,0,Flat,0,,0,,0,Overcast,945200,1,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,13,Waikato District,Unknown,0,0,0,0,0,0,Urban,0,1,0,Fine,Null;;;;;;;;;;
1787132,5490440,671024,,564021,0,0,0,1,0,South,2006,SH 1N,WAIKAWA BEACH ROAD,,Non-Injury Crash,Yes,2005,0,South,0,0,1,Flat,0,,0,,0,Twilight,1882404,0,0,0,2,0,0,0,0,0,,0,0,Manawatu-Wanganui Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,42,Horowhenua District,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null;;;;;;;;;;
1700399,5679060,671025,,550901,0,0,0,1,0,Null,2003,SH 3,CORBETT ROAD,,Minor Crash,Yes,2003,0,North,0,0,0,Flat,0,,1,,0,Dark,1562502,2,0,0,2,0,0,0,0,0,,0,0,Taranaki Region,Nil,2-way,Sealed,0,0,0,0,70,0,None,0,0,,33,New Plymouth District,Stop,0,0,0,0,0,0,Urban,0,0,0,Fine,Null;;;;;;;;;;
1928695,5605757,671026,,547700,0,0,0,1,0,South,2006,SOUTHAMPTON ST WEST,DAVIS ST,,Serious Crash,No,2006,0,North,0,0,0,Flat,0,,0,,0,Dark,1486500,0,0,0,2,0,0,0,0,0,,0,0,Hawke's Bay Region,Nil,2-way,Sealed,0,0,1,0,50,0,On,0,0,,30,Hastings District,Nil,0,0,0,1,0,0,Urban,0,0,0,Light rain,Null;;;;;;;;;;
1679643,5402150,671027,,581250,0,,0,2,,Null,2010,ALABAMA ROAD,WELD ST,,Non-Injury Crash,No,2009,,West,,0,,Flat,,,,,,Bright sun,2303900,0,0,0,2,,,0,,,,,,Marlborough Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,53,Marlborough District,Give way,,,,,0,0,Urban,0,,,Fine,Null;;;;;;;;;;
1761991,5920113,671028,,516400,0,,0,2,,South,2009,TAMAKI DRIVE,KITEMOANA ST,,Non-Injury Crash,No,2008,,North,,0,,Flat,,,,,,Bright sun,498801,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null;;;;;;;;;;
1762832,5907599,671029,,524530,0,,0,1,,South,2015,MASSEY ROAD,TENNESSEE AVENUE,,Non-Injury Crash,No,2014,,North,,0,,Flat,,,,,,Bright sun,732903,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,76,Auckland,Unknown,,,,,1,0,Urban,0,,,Fine,Null;;;;;;;;;;
